id,first,second,third,fourth,fifth,Yellow
101,2,28,30,38,39,11
102,2,5,15,18,39,42
103,2,4,26,36,39,27
104,2,15,18,20,39,34
105,2,4,17,36,40,5
106,2,15,26,34,41,14
107,2,16,17,22,41,31
108,2,31,32,37,41,40
109,2,9,14,37,42,41
110,2,3,4,8,43,26
111,2,7,25,35,44,3
112,2,6,11,27,44,20
113,2,5,10,26,44,46
114,2,20,28,36,45,37
115,2,20,26,44,46,26
116,2,10,13,38,46,2
117,2,4,23,38,46,23
118,2,17,31,39,47,9
119,2,5,45,46,47,37
120,2,3,27,30,47,36
121,2,3,18,34,48,36
122,2,6,12,31,48,25
123,2,8,30,36,48,31
124,2,17,20,26,48,12
125,2,17,20,26,48,12
126,2,8,42,43,50,6
127,2,18,19,49,50,1
128,2,9,17,34,50,45
129,2,16,22,29,50,27
130,2,22,25,28,50,18
131,2,7,20,34,50,40
132,2,6,8,18,51,19
133,2,44,48,50,52,3
134,2,27,38,46,52,45
135,2,7,33,39,53,9
136,2,23,30,35,53,10
137,2,7,18,32,53,18
138,2,15,25,48,53,41
139,2,5,35,40,54,13
140,2,23,41,47,54,42
141,2,20,34,42,54,39
142,2,6,30,31,55,7
143,2,23,32,45,55,12
144,2,14,21,28,55,3
145,2,15,17,48,55,11
146,2,14,29,53,55,31
147,2,28,38,42,55,25
148,2,10,46,50,56,16
149,2,12,18,54,56,1
150,2,14,26,50,56,12
151,2,19,44,51,57,14
152,2,32,35,50,59,3
153,2,5,26,58,60,6
154,2,9,11,28,60,10
155,2,19,21,42,60,13
156,2,13,15,21,62,2
157,2,15,41,49,63,3
158,2,43,52,62,63,6
159,2,43,52,62,63,6
160,2,31,46,58,65,7
161,2,29,38,63,66,11
162,2,7,46,61,66,1
163,2,7,46,61,66,1
164,2,6,8,52,66,13
165,2,11,55,58,67,2
166,2,32,47,49,68,23
167,2,38,48,61,68,4
168,2,7,20,55,70,1
169,2,19,30,38,70,8
170,2,3,19,52,71,14
171,2,22,34,62,72,2
172,2,22,34,62,72,2
173,2,13,17,35,73,3
174,2,3,9,50,73,12
175,2,8,16,43,74,1
176,2,10,24,26,74,7
177,2,11,42,64,74,2
178,2,27,41,50,75,4
179,3,5,10,26,27,27
180,3,5,10,26,27,27
181,3,4,14,18,27,13
182,3,5,8,18,29,14
183,3,6,24,30,33,21
184,3,5,13,32,35,6
185,3,11,19,23,36,21
186,3,16,23,35,36,20
187,3,16,28,33,37,9
188,3,6,14,21,37,35
189,3,6,14,21,37,35
190,3,4,15,27,37,35
191,3,9,15,37,38,39
192,3,11,20,29,39,26
193,3,25,28,29,40,13
194,3,20,33,34,41,20
195,3,20,21,38,42,19
196,3,19,24,32,43,44
197,3,19,21,44,45,29
198,3,12,27,39,47,32
199,3,19,31,32,48,10
200,3,14,15,25,48,8
201,3,27,37,45,48,46
202,3,21,43,45,48,14
203,3,5,30,36,48,23
204,3,5,30,36,48,23
205,3,11,22,34,49,1
206,3,9,11,44,49,9
207,3,7,22,27,50,3
208,3,13,33,40,50,2
209,3,14,17,40,50,3
210,3,4,18,29,50,20
211,3,4,18,29,50,20
212,3,33,35,49,51,1
213,3,5,28,33,51,16
214,3,9,13,47,52,8
215,3,4,24,36,52,45
216,3,26,40,45,52,11
217,3,8,21,28,52,43
218,3,20,43,47,52,26
219,3,15,31,36,53,27
220,3,15,31,36,53,27
221,3,33,39,47,53,9
222,3,18,46,51,53,17
223,3,15,29,35,54,8
224,3,13,14,46,55,34
225,3,17,19,41,55,24
226,3,18,32,41,56,19
227,3,22,48,52,56,13
228,3,42,44,47,57,8
229,3,4,31,49,57,6
230,3,11,23,29,59,18
231,3,31,50,58,59,6
232,3,50,57,58,60,11
233,3,16,52,54,61,6
234,3,23,28,46,62,16
235,3,12,35,37,63,15
236,3,6,29,30,64,3
237,3,8,38,51,64,4
238,3,17,23,49,66,23
239,3,34,54,65,66,4
240,3,11,18,20,66,9
241,3,7,44,63,67,12
242,3,20,34,58,67,6
243,3,30,45,53,68,11
244,3,8,29,57,68,8
245,3,49,61,62,68,15
246,3,45,49,61,69,9
